Zenodo_ID	Title | n=26
19027382	Antweb: AntWeb
19011682	FishBase
17966270	Wikipedia: Wikipedia English - traits (inferred records)
16933849	Animal Diversity Web: ADW Traits & image objects from Quaardvark Tool
16931434	TreatmentBank
15549295	AmphibiaWeb: AmphibiaWeb text w/traits based on Pensoft Annotator
15039847	Memoirs of the American Entomological Society
15020541	North American Flora: North American Flora - ALL
15003278	Smithsonian Contributions Series: Smithsonian Contributions to Botany
14890088	Comparative Cytogenetics: Comparative Cytogenetics (554)
14890021	Deutsche Entomologische Zeitschrift: Deutsche Entomologische Zeitschrift (792)
14890011	Zoosystematics and Evolution: Zoosystematics and Evolution (834)
14890005	Nota Lepidopterologica: Nota Lepidopterologica (798)
14889857	Zookeys: ZooKeys (20) DwCA
14647411	Fungi ecomorphological trait data
14646717	Trophic guild data for fungi
13320933	Habitat data for aquatic invertebrates
13320929	Invertebrate Phenology
13320905	Habitat data for fungi
13320867	Body Size Data for North American Orthopteroid Insects
13320589	Body Size Data for North American Spiders
13320563	Saproxylic Organisms
13320553	Body Length Data for North American Syrphidae & Tabanidae
13320513	Body Size Data for North American Hemiptera
13320497	Body Length Data for North American Beetles
13313676	World Register of Marine Species
