Zenodo_ID	Title | n=75
20646743	USDA PLANTS structured data DwCA
20367900	Zookeys: ZooKeys (20) DwCA
20321835	Smithsonian Contributions Series: Smithsonian Contributions to Botany
20195785	Global Biotic Interactions: GloBI, the associations resource
20183510	Harvard Museum of Comparative Zoology
20133495	National Museum of Natural History Type Data: NMNH type specimens
20059160	Paleobiology Database (PBDB)
19860191	Winfield, Abarca-Arenas and Chazaro-Olvera, 2007
19860153	Satapoomin, 2000
19860058	Zarco Perello, Moreno Mendoza and Simões, 2014
19859937	Lobel and Lobel, 2004
19859820	Lobban et al, 2012
19859690	Kendrick and Rule, 2014
19859613	Jawad et al, 2018
19859526	Fourriére et al, 2014
19859392	Floeter et al, 2003
19859188	Chabanet et al, 2012
19698576	Ahyong and Erdmann, 2003
19082544	GBIF data summaries: GBIF national node type records: Sweden
19081948	GBIF data summaries: GBIF national node type records: Brazil
19081550	GBIF data summaries: GBIF national node type records: Netherlands
19081476	GBIF data summaries: GBIF national node type records: France
19081151	GBIF data summaries: GBIF national node type records: Germany
19027382	Antweb: AntWeb
19011682	FishBase
18673514	WoRMS internal: World Register of Marine Species
18210682	Winston, 1986
18210677	Hernandez et al, 2009
18210671	Cheng et al, 2016
17974849	GBIF data summaries: GBIF national node type records: UK
17966270	Wikipedia: Wikipedia English - traits (inferred records)
17633934	Kubitzki et al
17553181	Coral Reef Fishes of Indonesia
17370587	Robertson & Tornabene, 2020
16986787	Rotifer World Catalog: Type data & habitat info
16981864	Polytraits
16933849	Animal Diversity Web: ADW Traits & image objects from Quaardvark Tool
16931434	TreatmentBank
16817406	Palm Traits 1.0
16817184	Lukas, D. and Clutton-Brock, T. 2014: Lukas and Clutton-Brock, 2014
16817057	McDaniel et al, 2012
15851109	Manconi and Pronzato, 2016
15851096	De Clippele et al, 2019
15851087	Jankowski, et al, 2007
15851081	Houlbrèque and Ferrier‐Pagès, 2009
15851072	Lewis, 1982
15851064	Fautin and Lowenstein, 1994
15851055	Guzman, 2018
15851037	Brafield, 1969
15843928	Brusca and Brusca, 2003
15594425	TRY database summary
15549295	AmphibiaWeb: AmphibiaWeb text w/traits based on Pensoft Annotator
15414954	Spreadsheet template for Xenacoelomorpha traits
15325019	marine ecology literature: marine ecology lit v5
15312111	Benedetti et al, 2015
15164488	Olenina et al, 2006
15092385	Spreadsheet template for Nematoda trophic traits (Hodda 2022)
15039847	Memoirs of the American Entomological Society
15020541	North American Flora: North American Flora - ALL
14947779	Rockwell et al 2014
14890088	Comparative Cytogenetics: Comparative Cytogenetics (554)
14890021	Deutsche Entomologische Zeitschrift: Deutsche Entomologische Zeitschrift (792)
14890011	Zoosystematics and Evolution: Zoosystematics and Evolution (834)
14890005	Nota Lepidopterologica: Nota Lepidopterologica (798)
14647411	Fungi ecomorphological trait data
14646717	Trophic guild data for fungi
13946150	DeLeo, Danielle et al. (2024)
13795618	Metrics: GBIF data coverage
13333278	O__Brien et al, 2013
13323186	eBird/Clements checklist of birds of the world: Version 6.9
13323130	Brose et al
13322693	Chen and Moles, 2015
13322681	White and Seymour, 2014
13322457	Shaw Nature Reserve - A division of the Missouri Botanical Garden: Lily Database
13322455	Female Passerine Singing Behavior from Odom et al. 2013: Odom et al, 2014
