Index_1	Index_2
Animals	Annelida
Animals	Arthropoda
Animals	Brachiopoda
Animals	Bryozoa
Animals	Cnidaria
Animals	Echinodermata
Animals	Flatworms
Animals	Mollusca
Animals	Nematoda
Animals	Porifera
Animals	Tunicata
Animals	Tetrapoda
Animals	Vertebrata
Arthropoda	Arachnida
Arthropoda	Collembola
Arthropoda	Crustacea
Arthropoda	Insecta
Arthropoda	Myriapoda
Arthropoda	Trilobita
Insecta	Blattodea
Insecta	Coleoptera
Insecta	Diptera
Insecta	Ephemeroptera
Insecta	Hemiptera
Insecta	Hymenoptera
Insecta	Lepidoptera
Insecta	Neuropterida
Insecta	Odonata
Insecta	Orthoptera
Insecta	Plecoptera
Insecta	Psocodea
Insecta	Trichoptera
Life	Animals
Life	Archaea
Life	Bacteria
Life	Fungi
Life	Plants
Life	Protists
Life	Viruses
Mollusca	Bivalvia
Mollusca	Cephalopoda
Mollusca	Gastropoda
Plants	Angiosperms
Plants	Bryophytes
Plants	Chlorophyta
Plants	Gymnosperms
Plants	Pteridophytes
Plants	Rhodophyta
Protists	Chlorophyta
Protists	Ciliophora
Protists	Foraminifera
Vertebrata	Actinopterygii
Vertebrata	Chondrichthyes
Vertebrata	Tetrapoda
